;model_name;config;dropout;train_loss;train_rmse;train_mae;train_mape;valid_loss;valid_rmse;valid_mae;valid_mape;test_rmse;test_mae;test_mape;epochs;batch_train;input_shape;total_time;time_step;splits
0;forecasting_model_grouped__1_l-20_l-10_l-10;{'name': 'forecasting_model_grouped__1_l-20_l-10_l-10', 'layers': [{'type': 'lstm', 'cells': 20, 'dropout': 0, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0, 'stateful': True, 'ret_seq': False}], 'batch_size': 5, 'timesteps': 96};0;0.02307473763871445;0;0.09204297211459454;0;0.018454450997523963;0;0.09556077467277646;0;0;0;0;6/30;5;(211, [96], 96);23.92638111114502;0;2017-08-01 00:00:00
1;forecasting_model_grouped__2_l-20_l-10_l-10;{'name': 'forecasting_model_grouped__2_l-20_l-10_l-10', 'layers': [{'type': 'lstm', 'cells': 20, 'dropout': 0, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0, 'stateful': True, 'ret_seq': False}], 'batch_size': 10, 'timesteps': 96};0;0.02596329352544511;0;0.09915462749845841;0;0.020396380801685154;0;0.10059516690671444;0;0;0;0;9/30;10;(211, [96], 96);18.197087049484253;0;2017-08-01 00:00:00
2;forecasting_model_grouped__3_l-20_l-10_l-10;{'name': 'forecasting_model_grouped__3_l-20_l-10_l-10', 'layers': [{'type': 'lstm', 'cells': 20, 'dropout': 0, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0, 'stateful': True, 'ret_seq': False}], 'batch_size': 15, 'timesteps': 96};0;0.030951083891771057;0;0.11263838071714748;0;0.03479298700888952;0;0.1470221703251203;0;0;0;0;11/30;15;(211, [96], 96);15.619573831558228;0;2017-08-01 00:00:00
3;forecasting_model_grouped__4_l-20_l-10_l-10;{'name': 'forecasting_model_grouped__4_l-20_l-10_l-10', 'layers': [{'type': 'lstm', 'cells': 20, 'dropout': 0, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0, 'stateful': True, 'ret_seq': False}], 'batch_size': 20, 'timesteps': 96};0;0.04069885588251054;0;0.1342706847935915;0;0.03231263346970081;0;0.14706814289093018;0;0;0;0;14/30;20;(211, [96], 96);14.281483173370361;0;2017-08-01 00:00:00
4;forecasting_model_grouped__5_l-20_l-10_l-10_d-0.1;{'name': 'forecasting_model_grouped__5_l-20_l-10_l-10_d-0.1', 'layers': [{'type': 'lstm', 'cells': 20, 'dropout': 0.1, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0.1, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0.1, 'stateful': True, 'ret_seq': False}], 'batch_size': 5, 'timesteps': 96};0.1;0.039724696290624494;0;0.1370684708304265;0;0.020731463271658868;0;0.11153684929013252;0;0;0;0;6/30;5;(211, [96], 96);23.728195905685425;0;2017-08-01 00:00:00
5;forecasting_model_grouped__6_l-20_l-10_l-10_d-0.1;{'name': 'forecasting_model_grouped__6_l-20_l-10_l-10_d-0.1', 'layers': [{'type': 'lstm', 'cells': 20, 'dropout': 0.1, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0.1, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0.1, 'stateful': True, 'ret_seq': False}], 'batch_size': 10, 'timesteps': 96};0.1;0.040062659803558796;0;0.14029979399021933;0;0.021761232055723667;0;0.1107835154980421;0;0;0;0;11/30;10;(211, [96], 96);22.12618589401245;0;2017-08-01 00:00:00
6;forecasting_model_grouped__7_l-20_l-10_l-10_d-0.1;{'name': 'forecasting_model_grouped__7_l-20_l-10_l-10_d-0.1', 'layers': [{'type': 'lstm', 'cells': 20, 'dropout': 0.1, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0.1, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0.1, 'stateful': True, 'ret_seq': False}], 'batch_size': 15, 'timesteps': 96};0.1;0.04517485929483717;0;0.15048399025743658;0;0.02070521004498005;0;0.10957084844509761;0;0;0;0;13/30;15;(211, [96], 96);18.85330891609192;0;2017-08-01 00:00:00
7;forecasting_model_grouped__8_l-20_l-10_l-10_d-0.1;{'name': 'forecasting_model_grouped__8_l-20_l-10_l-10_d-0.1', 'layers': [{'type': 'lstm', 'cells': 20, 'dropout': 0.1, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0.1, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0.1, 'stateful': True, 'ret_seq': False}], 'batch_size': 20, 'timesteps': 96};0.1;0.046539457282051444;0;0.15133965853601694;0;0.026221069507300854;0;0.13619233295321465;0;0;0;0;16/30;20;(211, [96], 96);16.103315830230713;0;2017-08-01 00:00:00
8;forecasting_model_grouped__9_l-20_l-10_l-10_d-0.2;{'name': 'forecasting_model_grouped__9_l-20_l-10_l-10_d-0.2', 'layers': [{'type': 'lstm', 'cells': 20, 'dropout': 0.2, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0.2, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0.2, 'stateful': True, 'ret_seq': False}], 'batch_size': 5, 'timesteps': 96};0.2;0.052387249820372635;0;0.1731201307300259;0;0.021652523311786354;0;0.10901979776099324;0;0;0;0;6/30;5;(211, [96], 96);23.597376108169556;0;2017-08-01 00:00:00
9;forecasting_model_grouped__10_l-20_l-10_l-10_d-0.2;{'name': 'forecasting_model_grouped__10_l-20_l-10_l-10_d-0.2', 'layers': [{'type': 'lstm', 'cells': 20, 'dropout': 0.2, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0.2, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0.2, 'stateful': True, 'ret_seq': False}], 'batch_size': 10, 'timesteps': 96};0.2;0.060771297334748155;0;0.18298755191704807;0;0.023469809209927917;0;0.11507481336593628;0;0;0;0;9/30;10;(211, [96], 96);18.523638010025024;0;2017-08-01 00:00:00
