Time,Cold (kW),Air (kW)
2017/1/1 00:15,32.68818283,45.92786026
2017/1/1 00:30,75.93710327,45.28165054
2017/1/1 00:45,30.71294975,46.50894547
2017/1/1 01:00,30.66316223,44.46653748
2017/1/1 01:15,33.32888794,44.18571091
2017/1/1 01:30,69.11949158,49.35656357
2017/1/1 01:45,35.28309631,43.627491
2017/1/1 02:00,32.77336121,43.17419052
2017/1/1 02:15,32.79586792,48.26753998
2017/1/1 02:30,30.72445869,44.46324539
2017/1/1 02:45,73.68869019,45.35697937
2017/1/1 03:00,30.78240585,43.75331879
2017/1/1 03:15,33.20822525,46.96599197
2017/1/1 03:30,30.69730759,46.19560623
2017/1/1 03:45,61.50101089,44.49291992
2017/1/1 04:00,45.03030014,43.54264069
2017/1/1 04:15,34.87421036,48.05568695
2017/1/1 04:30,30.21246338,41.58477783
2017/1/1 04:45,30.62679672,46.13454437
2017/1/1 05:00,71.68360138,43.74272156
2017/1/1 05:15,30.3015213,47.81837082
2017/1/1 05:30,32.76715088,44.56115341
2017/1/1 05:45,30.5825901,41.39485168
2017/1/1 06:00,34.61143875,49.22642517
2017/1/1 06:15,69.36816406,44.94620132
2017/1/1 06:30,32.71045685,44.62765121
2017/1/1 06:45,30.35093117,44.02531052
2017/1/1 07:00,30.72436905,47.62363815
2017/1/1 07:15,61.1852417,40.71250916
2017/1/1 07:30,41.0976181,36.58991241
2017/1/1 07:45,34.37604523,44.05252075
2017/1/1 08:00,30.65088081,39.86673737
2017/1/1 08:15,30.80940247,35.28556824
2017/1/1 08:30,71.1937561,45.66031647
2017/1/1 08:45,30.68457413,40.78941727
2017/1/1 09:00,30.14304924,37.79449463
2017/1/1 09:15,32.85584259,42.69207382
2017/1/1 09:30,36.68108368,38.52040482
2017/1/1 09:45,65.20571899,38.13468933
2017/1/1 10:00,32.60877228,45.298069
2017/1/1 10:15,30.24188614,39.40626907
2017/1/1 10:30,30.78988838,36.8242569
2017/1/1 10:45,57.38271332,44.95099258
2017/1/1 11:00,46.49242783,38.331707
2017/1/1 11:15,34.94604874,38.15707779
2017/1/1 11:30,30.20809746,45.50640488
2017/1/1 11:45,30.6630764,36.2972908
2017/1/1 12:00,77.86690521,39.37192917
2017/1/1 12:15,30.16659737,46.50032425
2017/1/1 12:30,32.78394318,36.77130508
2017/1/1 12:45,30.76126289,41.15615845
2017/1/1 13:00,30.14224052,43.63885498
2017/1/1 13:15,81.9818573,36.88519669
2017/1/1 13:30,30.67431068,41.29837418
