"DateTime","Prices","Volume","MiddleNight","EarlyMorning","LateMorning","EarlyAfternoon","RushHour","OffPeak2","Night","OffPeak1","Business","OffPeak","Morning","HighNoon","Afternoon","Evening","SunPeak","BasePrice","BaseVolume","PeakPrice","PeakVolume"
2017-01-01 00:00:00,20.96,27248.6,19.01,14.19,22.84,30.34,"50.16",39.75,17.7,16.6,26.59,24.31,16.32,27.26,40.18,43.99,29,29.38,653676.1,34.44,336562.1
2017-01-01 01:00:00,20.9,28088.8,19.01,14.19,22.84,30.34,"50.16",39.75,17.7,16.6,26.59,24.31,16.32,27.26,40.18,43.99,29,29.38,653676.1,34.44,336562.1
2017-01-01 02:00:00,18.13,27323.8,19.01,14.19,22.84,30.34,"50.16",39.75,17.7,16.6,26.59,24.31,16.32,27.26,40.18,43.99,29,29.38,653676.1,34.44,336562.1
2017-01-01 03:00:00,16.03,26863,19.01,14.19,22.84,30.34,"50.16",39.75,17.7,16.6,26.59,24.31,16.32,27.26,40.18,43.99,29,29.38,653676.1,34.44,336562.1
2017-01-01 04:00:00,16.43,27021.2,19.01,14.19,22.84,30.34,"50.16",39.75,17.7,16.6,26.59,24.31,16.32,27.26,40.18,43.99,29,29.38,653676.1,34.44,336562.1
2017-01-01 05:00:00,13.75,27276.3,19.01,14.19,22.84,30.34,"50.16",39.75,17.7,16.6,26.59,24.31,16.32,27.26,40.18,43.99,29,29.38,653676.1,34.44,336562.1
2017-01-01 06:00:00,11.1,28457.6,19.01,14.19,22.84,30.34,"50.16",39.75,17.7,16.6,26.59,24.31,16.32,27.26,40.18,43.99,29,29.38,653676.1,34.44,336562.1
2017-01-01 07:00:00,15.47,28448.1,19.01,14.19,22.84,30.34,"50.16",39.75,17.7,16.6,26.59,24.31,16.32,27.26,40.18,43.99,29,29.38,653676.1,34.44,336562.1
2017-01-01 08:00:00,16.88,29238,19.01,14.19,22.84,30.34,"50.16",39.75,17.7,16.6,26.59,24.31,16.32,27.26,40.18,43.99,29,29.38,653676.1,34.44,336562.1
2017-01-01 09:00:00,21.81,29658.1,19.01,14.19,22.84,30.34,"50.16",39.75,17.7,16.6,26.59,24.31,16.32,27.26,40.18,43.99,29,29.38,653676.1,34.44,336562.1
2017-01-01 10:00:00,26.24,30907,19.01,14.19,22.84,30.34,"50.16",39.75,17.7,16.6,26.59,24.31,16.32,27.26,40.18,43.99,29,29.38,653676.1,34.44,336562.1
2017-01-01 11:00:00,26.42,31392.2,19.01,14.19,22.84,30.34,"50.16",39.75,17.7,16.6,26.59,24.31,16.32,27.26,40.18,43.99,29,29.38,653676.1,34.44,336562.1
2017-01-01 12:00:00,27.66,31368.7,19.01,14.19,22.84,30.34,"50.16",39.75,17.7,16.6,26.59,24.31,16.32,27.26,40.18,43.99,29,29.38,653676.1,34.44,336562.1
2017-01-01 13:00:00,28.7,30737.6,19.01,14.19,22.84,30.34,"50.16",39.75,17.7,16.6,26.59,24.31,16.32,27.26,40.18,43.99,29,29.38,653676.1,34.44,336562.1
2017-01-01 14:00:00,29.66,28309,19.01,14.19,22.84,30.34,"50.16",39.75,17.7,16.6,26.59,24.31,16.32,27.26,40.18,43.99,29,29.38,653676.1,34.44,336562.1
2017-01-01 15:00:00,35.33,25364.5,19.01,14.19,22.84,30.34,"50.16",39.75,17.7,16.6,26.59,24.31,16.32,27.26,40.18,43.99,29,29.38,653676.1,34.44,336562.1
2017-01-01 16:00:00,44.12,24496.9,19.01,14.19,22.84,30.34,"50.16",39.75,17.7,16.6,26.59,24.31,16.32,27.26,40.18,43.99,29,29.38,653676.1,34.44,336562.1
2017-01-01 17:00:00,51.59,24806.7,19.01,14.19,22.84,30.34,"50.16",39.75,17.7,16.6,26.59,24.31,16.32,27.26,40.18,43.99,29,29.38,653676.1,34.44,336562.1
2017-01-01 18:00:00,53.95,25197.7,19.01,14.19,22.84,30.34,"50.16",39.75,17.7,16.6,26.59,24.31,16.32,27.26,40.18,43.99,29,29.38,653676.1,34.44,336562.1
2017-01-01 19:00:00,50.97,25085.7,19.01,14.19,22.84,30.34,"50.16",39.75,17.7,16.6,26.59,24.31,16.32,27.26,40.18,43.99,29,29.38,653676.1,34.44,336562.1
2017-01-01 20:00:00,44.93,24436,19.01,14.19,22.84,30.34,"50.16",39.75,17.7,16.6,26.59,24.31,16.32,27.26,40.18,43.99,29,29.38,653676.1,34.44,336562.1
2017-01-01 21:00:00,38.83,24278.2,19.01,14.19,22.84,30.34,"50.16",39.75,17.7,16.6,26.59,24.31,16.32,27.26,40.18,43.99,29,29.38,653676.1,34.44,336562.1
2017-01-01 22:00:00,42.17,24047.1,19.01,14.19,22.84,30.34,"50.16",39.75,17.7,16.6,26.59,24.31,16.32,27.26,40.18,43.99,29,29.38,653676.1,34.44,336562.1
2017-01-01 23:00:00,33.06,23625.3,19.01,14.19,22.84,30.34,"50.16",39.75,17.7,16.6,26.59,24.31,16.32,27.26,40.18,43.99,29,29.38,653676.1,34.44,336562.1
2017-01-02 00:00:00,30.54,22495.4,28.86,36.97,54.07,55.43,"58.61",43.53,29.06,32.92,54.75,36.45,49.2,54.55,59.35,47.19,55.03,46.25,612414.5,56.04,319917.2
2017-01-02 01:00:00,28.91,23056.8,28.86,36.97,54.07,55.43,"58.61",43.53,29.06,32.92,54.75,36.45,49.2,54.55,59.35,47.19,55.03,46.25,612414.5,56.04,319917.2
2017-01-02 02:00:00,28.11,24205.2,28.86,36.97,54.07,55.43,"58.61",43.53,29.06,32.92,54.75,36.45,49.2,54.55,59.35,47.19,55.03,46.25,612414.5,56.04,319917.2
2017-01-02 03:00:00,27.89,24145,28.86,36.97,54.07,55.43,"58.61",43.53,29.06,32.92,54.75,36.45,49.2,54.55,59.35,47.19,55.03,46.25,612414.5,56.04,319917.2
2017-01-02 04:00:00,27.73,24239.6,28.86,36.97,54.07,55.43,"58.61",43.53,29.06,32.92,54.75,36.45,49.2,54.55,59.35,47.19,55.03,46.25,612414.5,56.04,319917.2
2017-01-02 05:00:00,31.18,23606.5,28.86,36.97,54.07,55.43,"58.61",43.53,29.06,32.92,54.75,36.45,49.2,54.55,59.35,47.19,55.03,46.25,612414.5,56.04,319917.2
2017-01-02 06:00:00,37.99,22912.2,28.86,36.97,54.07,55.43,"58.61",43.53,29.06,32.92,54.75,36.45,49.2,54.55,59.35,47.19,55.03,46.25,612414.5,56.04,319917.2
2017-01-02 07:00:00,50.98,25273.2,28.86,36.97,54.07,55.43,"58.61",43.53,29.06,32.92,54.75,36.45,49.2,54.55,59.35,47.19,55.03,46.25,612414.5,56.04,319917.2
2017-01-02 08:00:00,53.88,24556.1,28.86,36.97,54.07,55.43,"58.61",43.53,29.06,32.92,54.75,36.45,49.2,54.55,59.35,47.19,55.03,46.25,612414.5,56.04,319917.2
2017-01-02 09:00:00,53.94,25902.4,28.86,36.97,54.07,55.43,"58.61",43.53,29.06,32.92,54.75,36.45,49.2,54.55,59.35,47.19,55.03,46.25,612414.5,56.04,319917.2
2017-01-02 10:00:00,53.54,27624.2,28.86,36.97,54.07,55.43,"58.61",43.53,29.06,32.92,54.75,36.45,49.2,54.55,59.35,47.19,55.03,46.25,612414.5,56.04,319917.2
2017-01-02 11:00:00,54.91,28270,28.86,36.97,54.07,55.43,"58.61",43.53,29.06,32.92,54.75,36.45,49.2,54.55,59.35,47.19,55.03,46.25,612414.5,56.04,319917.2
2017-01-02 12:00:00,54.08,28520.4,28.86,36.97,54.07,55.43,"58.61",43.53,29.06,32.92,54.75,36.45,49.2,54.55,59.35,47.19,55.03,46.25,612414.5,56.04,319917.2
2017-01-02 13:00:00,55.67,27473.7,28.86,36.97,54.07,55.43,"58.61",43.53,29.06,32.92,54.75,36.45,49.2,54.55,59.35,47.19,55.03,46.25,612414.5,56.04,319917.2
2017-01-02 14:00:00,55.98,26683.6,28.86,36.97,54.07,55.43,"58.61",43.53,29.06,32.92,54.75,36.45,49.2,54.55,59.35,47.19,55.03,46.25,612414.5,56.04,319917.2
2017-01-02 15:00:00,56,25955.8,28.86,36.97,54.07,55.43,"58.61",43.53,29.06,32.92,54.75,36.45,49.2,54.55,59.35,47.19,55.03,46.25,612414.5,56.04,319917.2
2017-01-02 16:00:00,57.77,26556.7,28.86,36.97,54.07,55.43,"58.61",43.53,29.06,32.92,54.75,36.45,49.2,54.55,59.35,47.19,55.03,46.25,612414.5,56.04,319917.2
2017-01-02 17:00:00,67.66,26029.1,28.86,36.97,54.07,55.43,"58.61",43.53,29.06,32.92,54.75,36.45,49.2,54.55,59.35,47.19,55.03,46.25,612414.5,56.04,319917.2
2017-01-02 18:00:00,55.1,26789.8,28.86,36.97,54.07,55.43,"58.61",43.53,29.06,32.92,54.75,36.45,49.2,54.55,59.35,47.19,55.03,46.25,612414.5,56.04,319917.2
2017-01-02 19:00:00,53.92,25555.4,28.86,36.97,54.07,55.43,"58.61",43.53,29.06,32.92,54.75,36.45,49.2,54.55,59.35,47.19,55.03,46.25,612414.5,56.04,319917.2
2017-01-02 20:00:00,49.07,26326.4,28.86,36.97,54.07,55.43,"58.61",43.53,29.06,32.92,54.75,36.45,49.2,54.55,59.35,47.19,55.03,46.25,612414.5,56.04,319917.2
2017-01-02 21:00:00,40.25,25691.5,28.86,36.97,54.07,55.43,"58.61",43.53,29.06,32.92,54.75,36.45,49.2,54.55,59.35,47.19,55.03,46.25,612414.5,56.04,319917.2
2017-01-02 22:00:00,45.92,26024.1,28.86,36.97,54.07,55.43,"58.61",43.53,29.06,32.92,54.75,36.45,49.2,54.55,59.35,47.19,55.03,46.25,612414.5,56.04,319917.2
2017-01-02 23:00:00,38.88,24521.4,28.86,36.97,54.07,55.43,"58.61",43.53,29.06,32.92,54.75,36.45,49.2,54.55,59.35,47.19,55.03,46.25,612414.5,56.04,319917.2
2017-01-03 00:00:00,36.02,25059.8,34.63,42.54,54.33,40.48,"38.48",21.34,34.32,38.59,47.41,32.84,54.46,47.51,38.83,26.35,44.02,38.63,693466.5,44.43,359638
2017-01-03 01:00:00,34.98,25514.3,34.63,42.54,54.33,40.48,"38.48",21.34,34.32,38.59,47.41,32.84,54.46,47.51,38.83,26.35,44.02,38.63,693466.5,44.43,359638
2017-01-03 02:00:00,33.64,25126.8,34.63,42.54,54.33,40.48,"38.48",21.34,34.32,38.59,47.41,32.84,54.46,47.51,38.83,26.35,44.02,38.63,693466.5,44.43,359638
2017-01-03 03:00:00,33.89,25856.3,34.63,42.54,54.33,40.48,"38.48",21.34,34.32,38.59,47.41,32.84,54.46,47.51,38.83,26.35,44.02,38.63,693466.5,44.43,359638
2017-01-03 04:00:00,33.5,25532.7,34.63,42.54,54.33,40.48,"38.48",21.34,34.32,38.59,47.41,32.84,54.46,47.51,38.83,26.35,44.02,38.63,693466.5,44.43,359638
2017-01-03 05:00:00,33.91,24839.1,34.63,42.54,54.33,40.48,"38.48",21.34,34.32,38.59,47.41,32.84,54.46,47.51,38.83,26.35,44.02,38.63,693466.5,44.43,359638
2017-01-03 06:00:00,48.13,26241.4,34.63,42.54,54.33,40.48,"38.48",21.34,34.32,38.59,47.41,32.84,54.46,47.51,38.83,26.35,44.02,38.63,693466.5,44.43,359638
2017-01-03 07:00:00,54.61,27906.4,34.63,42.54,54.33,40.48,"38.48",21.34,34.32,38.59,47.41,32.84,54.46,47.51,38.83,26.35,44.02,38.63,693466.5,44.43,359638
2017-01-03 08:00:00,57.93,28062.2,34.63,42.54,54.33,40.48,"38.48",21.34,34.32,38.59,47.41,32.84,54.46,47.51,38.83,26.35,44.02,38.63,693466.5,44.43,359638
2017-01-03 09:00:00,57.18,29168.6,34.63,42.54,54.33,40.48,"38.48",21.34,34.32,38.59,47.41,32.84,54.46,47.51,38.83,26.35,44.02,38.63,693466.5,44.43,359638
2017-01-03 10:00:00,52.27,29904.5,34.63,42.54,54.33,40.48,"38.48",21.34,34.32,38.59,47.41,32.84,54.46,47.51,38.83,26.35,44.02,38.63,693466.5,44.43,359638
2017-01-03 11:00:00,49.94,30643.9,34.63,42.54,54.33,40.48,"38.48",21.34,34.32,38.59,47.41,32.84,54.46,47.51,38.83,26.35,44.02,38.63,693466.5,44.43,359638
